Disorder,Category,ache,death,pain,severe,suffer,summary
Chronic Upper Respiratory Infection,Infectious,0.02460336498916149,0.09957338124513626,0.13744483888149261,0.22942940890789032,0.0957668274641037,3.4832890269704255
Viral Hepatitis C,Infectious,-0.15163034200668335,0.11418025195598602,0.09502770006656647,0.3591946065425873,0.09091910719871521,2.8644983134415254
Other Infectious Diseases,Infectious,-0.04690989479422569,0.36378926038742065,0.27121180295944214,0.23898983001708984,0.09655923396348953,3.670659802660965
Pneumonia,Infectious,-0.07655530422925949,0.46160727739334106,0.34222331643104553,0.47404131293296814,0.0055734748020768166,3.7981328151838802
Meningitis,Infectious,0.09138336032629013,0.38183721899986267,0.272507905960083,0.38375893235206604,0.012812459841370583,3.833278728837804
Carditis,Infectious,0.08160855621099472,0.2921854257583618,0.2462228685617447,0.3260749280452728,-0.01670175790786743,3.6893688547435874
Eye Infection,Infectious,0.03749487176537514,0.2843382656574249,0.31811973452568054,0.2790386974811554,0.06762415915727615,3.7146666180944283
Parasitic Infection,Infectious,0.009166889823973179,0.3345436155796051,0.18466468155384064,0.23473358154296875,0.025305237621068954,4.091028049672485
Acute Bronchitis,Infectious,-0.08224423229694366,0.26018524169921875,0.27600765228271484,0.3617499768733978,-0.04745100811123848,3.307392735891698
General Bacterial Infection,Infectious,-0.020116057246923447,0.45523470640182495,0.2567782998085022,0.34624025225639343,0.03498170152306557,4.025070904755494
Herpes Zoster,Infectious,0.12616850435733795,0.2601679265499115,0.36416319012641907,0.31844383478164673,-0.021475568413734436,3.43934013113613
Gastrointestinal Infection,Infectious,-0.06267483532428741,0.27052849531173706,0.2374296486377716,0.29215869307518005,0.0656762570142746,3.5566590606330175
Viral Warts HPV,Infectious,0.045951228588819504,0.08539362996816635,0.20752735435962677,0.03555554151535034,-0.03844767063856125,2.8115702601929544
Fungal Infection,Infectious,-0.021288132295012474,0.4223017394542694,0.12480795383453369,0.2580700218677521,-0.04814249649643898,3.888176654311586
Other Viral Hepatitis,Infectious,0.01626088283956051,0.24287329614162445,0.16852226853370667,0.24180060625076294,0.007939956150949001,4.014302494173293
Staphylococcus Aureus Infection,Infectious,-0.04018772393465042,0.18992158770561218,0.134670689702034,0.2955320179462433,0.0626399964094162,3.6251926703227912
Ear Infection,Infectious,-0.11333590745925903,0.2662704885005951,0.2856638431549072,0.3184959888458252,0.01835774816572666,3.3785315957717783
Viral Hepatitis B,Infectious,-0.08073444664478302,0.07983428239822388,0.06489784270524979,0.24913367629051208,-0.024060698226094246,2.930936968534225
UTI,Infectious,-0.049213726073503494,0.28588101267814636,0.3736473023891449,0.3493206799030304,-0.0336504764854908,3.509268752815389
Skin Infection,Infectious,0.030328359454870224,0.3006058633327484,0.37137773633003235,0.32613837718963623,0.05630524456501007,3.7470698050972144
Herpes Simplex,Infectious,0.21709735691547394,0.18955563008785248,0.24074578285217285,0.1697911024093628,0.004561971873044968,3.134037638816166
Peritonitis Retroperitoneal Infection,Infectious,-0.007067646831274033,0.41772952675819397,0.25196564197540283,0.3439011871814728,-0.031222259625792503,3.9458991821035863
Escherichia Coli Infection,Infectious,0.017482630908489227,0.009278610348701477,-0.07820513099431992,0.0766373798251152,0.03985142707824707,0.9731660553094348
Septicemia,Infectious,-0.0550079308450222,0.4695689380168915,0.18254975974559784,0.4002606272697449,0.060699187219142914,3.9063264101396022
Streptococcal Infection,Infectious,0.03395391255617142,0.2887724041938782,0.21001920104026794,0.31756970286369324,-0.04212246835231781,3.690910247262255
Cellu litis,Infectious,,,,,,
Acute Upper Respiratory Infection,Infectious,-0.1345120519399643,0.16825848817825317,0.22269576787948608,0.2501068711280823,0.05470885708928108,2.9926130915796896
General Viral Infection,Infectious,0.021155068650841713,0.4705828130245209,0.2113536298274994,0.2534227669239044,0.03961781784892082,4.116980812065315
Infestation,Infectious,0.2329910546541214,0.36143314838409424,0.18883049488067627,0.20360708236694336,0.019344506785273552,3.4384257668730305
Kidney Infection,Infectious,-0.10692978650331497,0.22705267369747162,0.17941983044147491,0.30538567900657654,-0.0685427337884903,2.9876688719191105
Influenza,Infectious,-0.008363885805010796,0.20134378969669342,0.10678160935640335,0.11116671562194824,-0.008873362094163895,3.9988605090690488
Varicella Infection,Infectious,-0.025606732815504074,0.24542933702468872,0.15978102385997772,0.26991307735443115,-0.025859283283352852,3.728125629358439
STI,Infectious,0.04896517097949982,-0.09496040642261505,0.16280342638492584,0.04122729226946831,-0.06174958497285843,0.2538001575474212
Protozoan Infection,Infectious,0.07763831317424774,0.23718249797821045,0.08417070657014847,0.143545001745224,0.06124338135123253,3.6647952166963615
NOS Immune Deficiency,Immune,-0.09814812242984772,0.24920554459095,0.21836119890213013,0.23588566482067108,0.028848769143223763,3.376730397849205
Allergic Rhinitis,Immune,0.04983162879943848,0.21074992418289185,0.26858747005462646,0.20018060505390167,-0.10323461890220642,3.0070192311839703
Dermatomyositis Polymyositis,Immune,0.24157215654850006,0.10100016742944717,0.2043994516134262,0.2785579264163971,0.012899662367999554,2.9815300908488127
Asthma,Immune,-0.02083607017993927,0.3617517352104187,0.44317129254341125,0.30801278352737427,-0.11170452833175659,3.3128516353308233
