Disorder,Category,ache,death,pain,severe,suffer,summary
Chronic Upper Respiratory Infection,Infectious,-0.046679504215717316,0.03223409876227379,0.1746937334537506,0.11624214798212051,0.041210319846868515,2.885131091112183
Viral Hepatitis C,Infectious,0.0490676686167717,0.12172878533601761,0.06668293476104736,0.19158992171287537,0.04803621768951416,3.6054759805496968
Other Infectious Diseases,Infectious,0.01992529071867466,0.3571896553039551,0.1601381152868271,0.190156489610672,0.06437664479017258,4.010763484292768
Pneumonia,Infectious,-0.10703256726264954,0.46306294202804565,0.31381282210350037,0.4527440071105957,0.02705235220491886,3.6773367256150284
Meningitis,Infectious,0.06967553496360779,0.3978889286518097,0.26783207058906555,0.3256414532661438,-0.00761638255789876,3.883341101040794
Carditis,Infectious,0.13589602708816528,0.24347463250160217,0.2308587282896042,0.3065328896045685,-0.09623385965824127,3.0400009443812404
Eye Infection,Infectious,0.10522131621837616,0.3156629800796509,0.20287542045116425,0.2618371248245239,0.025242894887924194,3.721836708852062
Parasitic Infection,Infectious,0.07158441841602325,0.34564605355262756,0.18737152218818665,0.18235370516777039,0.001934245228767395,3.923503633481691
Acute Bronchitis,Infectious,-0.03731727600097656,0.2035413235425949,0.13669459521770477,0.35808923840522766,-0.0185001902282238,3.6940356029597297
General Bacterial Infection,Infectious,-0.029578663408756256,0.4885956346988678,0.2580234706401825,0.311271995306015,0.03130505606532097,4.017938136006784
Herpes Zoster,Infectious,0.18325597047805786,0.24935781955718994,0.37387147545814514,0.2954055070877075,0.040308065712451935,3.339083814961805
Gastrointestinal Infection,Infectious,-0.011456191539764404,0.292654812335968,0.3003592789173126,0.33031603693962097,0.006145084276795387,3.9178732981974314
Viral Warts HPV,Infectious,-0.007017157971858978,0.16346198320388794,0.126876100897789,-0.008866790682077408,-0.040813885629177094,3.0942794963477955
Fungal Infection,Infectious,-0.061133209615945816,0.40388354659080505,0.21399268507957458,0.2513441741466522,-0.05721411108970642,3.535161143101417
Other Viral Hepatitis,Infectious,0.014355146326124668,0.3696047365665436,0.17346428334712982,0.16962312161922455,0.0016390252858400345,4.205571260180346
Staphylococcus Aureus Infection,Infectious,-0.12833578884601593,0.22530333697795868,0.23319119215011597,0.3236040472984314,0.045918941497802734,3.224758593765289
Ear Infection,Infectious,-0.03528376296162605,0.15455850958824158,0.1818731278181076,0.2910269498825073,0.008626269176602364,3.6708425669645086
Viral Hepatitis B,Infectious,-0.048929549753665924,0.27908509969711304,0.07474929839372635,0.28741416335105896,0.036621369421482086,3.8437606391635004
UTI,Infectious,-0.07275836914777756,0.27834585309028625,0.3968294560909271,0.3519049286842346,0.0005520964041352272,3.5607199878673814
Skin Infection,Infectious,0.026729540899395943,0.24656836688518524,0.33837103843688965,0.265470951795578,0.04956858605146408,3.7074285268626337
Herpes Simplex,Infectious,0.1946660876274109,0.2273392230272293,0.3030468821525574,0.25024253129959106,0.016758311539888382,3.3012243094085636
Peritonitis Retroperitoneal Infection,Infectious,-0.047164998948574066,0.4423348903656006,0.38069748878479004,0.32448357343673706,-0.026212628930807114,3.7285075685136713
Escherichia Coli Infection,Infectious,0.03708489239215851,0.15187157690525055,0.026968637481331825,0.07925992459058762,-0.011952031403779984,3.8109510924829992
Septicemia,Infectious,-0.07832833379507065,0.4654771089553833,0.24543322622776031,0.3970291018486023,0.019163034856319427,3.825851591836993
Streptococcal Infection,Infectious,0.014697723090648651,0.274233341217041,0.17614664137363434,0.17696185410022736,-0.06058336794376373,3.5594981819151212
Cellu litis,Infectious,,,,,,
